protocol,task,mode,metric,chance,test_subject,fold,value,best_val
loso,hemisphere,eeg_imu,acc,0.5,1,,0.563,0.575
loso,hemisphere,eeg_imu,acc,0.5,2,,0.585,0.5696428571428571
loso,hemisphere,eeg_imu,acc,0.5,3,,0.572,0.5660714285714286
loso,hemisphere,eeg_imu,acc,0.5,4,,0.565,0.5901785714285714
loso,hemisphere,eeg_imu,acc,0.5,5,,0.564,0.578125
loso,hemisphere,eeg_imu,acc,0.5,6,,0.58,0.5959821428571429
loso,hemisphere,eeg_imu,acc,0.5,7,,0.569,0.5571428571428572
loso,hemisphere,eeg_imu,acc,0.5,8,,0.56,0.5526785714285715
loso,hemisphere,eeg_imu,acc,0.5,9,,0.563,0.5683035714285715
loso,hemisphere,eeg_imu,acc,0.5,10,,0.56,0.5665178571428572
loso,hemisphere,eeg_imu,acc,0.5,11,,0.563,0.59375
loso,hemisphere,eeg_imu,acc,0.5,12,,0.585,0.5986607142857143
loso,hemisphere,eeg_imu,acc,0.5,13,,0.552,0.5383928571428571
loso,hemisphere,eeg_imu,acc,0.5,14,,0.566,0.5794642857142858
loso,hemisphere,eeg_imu,acc,0.5,15,,0.5787878787878787,0.5821428571428572
loso,hemisphere,eeg_imu,acc,0.5,16,,0.584,0.5625
loso,hemisphere,gaze_imu,acc,0.5,1,,0.562,0.5745535714285714
loso,hemisphere,gaze_imu,acc,0.5,2,,0.584,0.5691964285714286
loso,hemisphere,gaze_imu,acc,0.5,3,,0.568,0.565625
loso,hemisphere,gaze_imu,acc,0.5,4,,0.567,0.5866071428571429
loso,hemisphere,gaze_imu,acc,0.5,5,,0.565,0.578125
loso,hemisphere,gaze_imu,acc,0.5,6,,0.579,0.5959821428571429
loso,hemisphere,gaze_imu,acc,0.5,7,,0.563,0.5669642857142857
loso,hemisphere,gaze_imu,acc,0.5,8,,0.562,0.5526785714285715
loso,hemisphere,gaze_imu,acc,0.5,9,,0.563,0.5665178571428572
loso,hemisphere,gaze_imu,acc,0.5,10,,0.559,0.5669642857142857
loso,hemisphere,gaze_imu,acc,0.5,11,,0.563,0.59375
loso,hemisphere,gaze_imu,acc,0.5,12,,0.586,0.5982142857142857
loso,hemisphere,gaze_imu,acc,0.5,13,,0.576,0.5598214285714286
loso,hemisphere,gaze_imu,acc,0.5,14,,0.571,0.5799107142857143
loso,hemisphere,gaze_imu,acc,0.5,15,,0.5777777777777777,0.5821428571428572
loso,hemisphere,gaze_imu,acc,0.5,16,,0.584,0.5696428571428571
loso,hemisphere,eeg_gaze_imu,acc,0.5,1,,0.563,0.575
loso,hemisphere,eeg_gaze_imu,acc,0.5,2,,0.584,0.5691964285714286
loso,hemisphere,eeg_gaze_imu,acc,0.5,3,,0.569,0.5665178571428572
loso,hemisphere,eeg_gaze_imu,acc,0.5,4,,0.567,0.5866071428571429
loso,hemisphere,eeg_gaze_imu,acc,0.5,5,,0.565,0.5776785714285714
loso,hemisphere,eeg_gaze_imu,acc,0.5,6,,0.58,0.5964285714285714
loso,hemisphere,eeg_gaze_imu,acc,0.5,7,,0.569,0.5571428571428572
loso,hemisphere,eeg_gaze_imu,acc,0.5,8,,0.56,0.5526785714285715
loso,hemisphere,eeg_gaze_imu,acc,0.5,9,,0.562,0.5665178571428572
loso,hemisphere,eeg_gaze_imu,acc,0.5,10,,0.557,0.5669642857142857
loso,hemisphere,eeg_gaze_imu,acc,0.5,11,,0.562,0.5941964285714286
loso,hemisphere,eeg_gaze_imu,acc,0.5,12,,0.586,0.5982142857142857
loso,hemisphere,eeg_gaze_imu,acc,0.5,13,,0.576,0.559375
loso,hemisphere,eeg_gaze_imu,acc,0.5,14,,0.566,0.5790178571428571
loso,hemisphere,eeg_gaze_imu,acc,0.5,15,,0.5777777777777777,0.5821428571428572
loso,hemisphere,eeg_gaze_imu,acc,0.5,16,,0.581,0.5633928571428571
loso,speaker4,eeg_gaze,acc,0.25,1,,0.369,0.3736607142857143
loso,speaker4,eeg_gaze,acc,0.25,2,,0.365,0.37098214285714287
loso,speaker4,eeg_gaze,acc,0.25,3,,0.358,0.3638392857142857
loso,speaker4,eeg_gaze,acc,0.25,4,,0.371,0.39375
loso,speaker4,eeg_gaze,acc,0.25,5,,0.364,0.3517857142857143
loso,speaker4,eeg_gaze,acc,0.25,6,,0.409,0.40669642857142857
loso,speaker4,eeg_gaze,acc,0.25,7,,0.401,0.39553571428571427
loso,speaker4,eeg_gaze,acc,0.25,8,,0.371,0.3794642857142857
loso,speaker4,eeg_gaze,acc,0.25,9,,0.376,0.390625
loso,speaker4,eeg_gaze,acc,0.25,10,,0.416,0.40535714285714286
loso,speaker4,eeg_gaze,acc,0.25,11,,0.374,0.3691964285714286
loso,speaker4,eeg_gaze,acc,0.25,12,,0.391,0.38839285714285715
loso,speaker4,eeg_gaze,acc,0.25,13,,0.414,0.4
loso,speaker4,eeg_gaze,acc,0.25,14,,0.374,0.3879464285714286
loso,speaker4,eeg_gaze,acc,0.25,15,,0.3565656565656566,0.35982142857142857
loso,speaker4,eeg_gaze,acc,0.25,16,,0.403,0.4107142857142857
loso,speaker4,eeg_imu,acc,0.25,1,,0.361,0.3723214285714286
loso,speaker4,eeg_imu,acc,0.25,2,,0.369,0.38125
loso,speaker4,eeg_imu,acc,0.25,3,,0.358,0.3513392857142857
loso,speaker4,eeg_imu,acc,0.25,4,,0.361,0.39419642857142856
loso,speaker4,eeg_imu,acc,0.25,5,,0.36,0.35044642857142855
